"","triplet_id","sample","pep","triplet"
"1","dolphyn_1001031390910937997","S3.0153.01X194",0,1.69193913394584
"2","dolphyn_1003749516374457615","S3.0153.01X194",1.63315443905142,0
"3","dolphyn_1009814533447099731","S3.0693.01X195",1.71018781553424,1.87487437593856
"4","dolphyn_1015734080081038096","SO.0491.01X194",1.79009141212736,0
"5","dolphyn_1016311938036276311","S3.0153.01X194",1.7245507195346,0
"6","dolphyn_1022123155601217464","S3.0693.01X195",1.9473377010465,2.10046890887191
"7","dolphyn_1022216491584300793","S3.0153.01X194",1.71559810826249,2.00148000021012
"8","dolphyn_1038317668394306519","S3.0153.01X194",2.64617479738412,4.4884116253779
"9","dolphyn_1038317668394306519","S3.0693.01.2X194",0,2.33601986908028
"10","dolphyn_1038317668394306519","S3.0693.01X195",0,2.6253929674212
"11","dolphyn_1051129941064738951","S3.0153.01X194",1.81156209652423,0
"12","dolphyn_1052466136072106518","S3.0693.01X195",0,1.80170980008122
"13","dolphyn_1057454942217249814","S3.0693.01X195",0,1.62136648329937
"14","dolphyn_1063219132920881784","S3.0693.01.2X194",2.51365606307399,3.35270717250172
"15","dolphyn_1063219132920881784","S3.0693.01X195",3.7473841834865,3.75630443042873
"16","dolphyn_1074951676386696702","S3.0153.01X194",1.63510565918268,0
"17","dolphyn_1079644205920825683","S3.0693.01X195",1.96290772542388,0
"18","dolphyn_108369641839263133","S3.0153.01X194",3.91302250576123,3.09557760852371
"19","dolphyn_1084509839372489471","S3.0153.01X194",0,1.6467336971778
"20","dolphyn_109485683153676713","S3.0693.01.2X194",0,2.07693841146172
"21","dolphyn_109485683153676713","S3.0693.01X195",0,2.26592110862245
"22","dolphyn_1097905261147183111","S3.0693.01X195",1.61541998411165,0
"23","dolphyn_1099074316398906168","S3.0693.01X195",1.74919985480926,1.65822807660353
"24","dolphyn_1100580673380735497","S3.0153.01X194",1.66770682055808,0
"25","dolphyn_1105480526397061877","S3.0693.01.2X194",2.002830439308,0
"26","dolphyn_1105480526397061877","S3.0693.01X195",2.002830439308,1.80005827204275
"27","dolphyn_1105480526397061877","SO.0491.01X194",1.9154509415706,0
"28","dolphyn_1110574061786983926","S3.0153.01X194",0,1.68454538492091
"29","dolphyn_1113911959289978182","S3.0693.01X195",1.62334081760309,0
"30","dolphyn_1117466713274809994","S3.0153.01X194",0,2.14358936150359
"31","dolphyn_1117466713274809994","S3.0693.01X195",0,1.68639895357023
"32","dolphyn_1125536476604682503","S3.0153.01X194",1.7404661748405,0
"33","dolphyn_1125536476604682503","SO.0491.01X194",1.71379792775834,0
"34","dolphyn_1132008678214778391","S3.0153.01X194",2.61373952163097,2.43273577745909
"35","dolphyn_1134705517575032087","SO.0491.01X194",2.41858876875035,0
"36","dolphyn_1138435903099986007","S3.0153.01X194",1.78507048107726,0
"37","dolphyn_1140868906532924921","S3.0153.01X194",1.71199450075919,0
"38","dolphyn_1141164229498366995","S3.0693.01X195",0,1.73342389221509
"39","dolphyn_1145017761042794573","S3.0153.01X194",0,1.63119940421561
"40","dolphyn_1145017761042794573","SO.0491.01X194",0,2.39607543608138
"41","dolphyn_1147928607630811642","S3.0693.01X195",0,1.71559810826249
"42","dolphyn_1156450715091573531","S3.0693.01.2X194",0,1.83098018238134
"43","dolphyn_1156450715091573531","S3.0693.01X195",0,1.82454929205105
"44","dolphyn_1175841965253540317","S3.0693.01X195",0,1.72097928716701
"45","dolphyn_1177812395940462762","S3.0153.01X194",1.67709656090792,0
"46","dolphyn_1178041383404692744","S3.0693.01.2X194",0,1.62136648329937
"47","dolphyn_1178041383404692744","S3.0693.01X195",0,1.64480505627139
"48","dolphyn_1181678214702593165","S3.0693.01X195",1.74919985480926,0
"49","dolphyn_1185241727781046157","S3.0153.01X194",1.73871024813824,0
"50","dolphyn_1190939914384331817","S3.0693.01X195",1.71739505393919,0
"51","dolphyn_1201240444256000514","S3.0153.01X194",0,1.97823903617067
"52","dolphyn_1201733212654326779","S3.0693.01X195",1.89009536994892,0
"53","dolphyn_1210012910218754669","S3.0153.01X194",0,1.61342993370364
"54","dolphyn_1210012910218754669","S3.0693.01.2X194",0,1.97685495290473
"55","dolphyn_1210012910218754669","S3.0693.01X195",0,2.278292400425
"56","dolphyn_1210349059548372116","S3.0153.01X194",1.70292825552144,0
"57","dolphyn_1210349059548372116","S3.0693.01X195",1.92424865227413,0
"58","dolphyn_1216139735341381537","S3.0693.01X195",1.65632149833295,0
"59","dolphyn_1221350600596726308","S3.0153.01X194",0,1.80170980008122
"60","dolphyn_1221643508740902921","S3.0153.01X194",3.1998968582704,1.72097928716701
"61","dolphyn_1221679067256761305","S3.0693.01X195",1.88555334851442,0
"62","dolphyn_122502358360390422","S3.0693.01.2X194",0,1.91102289005487
"63","dolphyn_1234010551816071292","S3.0693.01.2X194",1.85159946958407,2.46044317760963
"64","dolphyn_1234010551816071292","S3.0693.01X195",2.47317139356958,2.1150499691472
"65","dolphyn_123404577649588853","S3.0153.01X194",0,2.72785282839839
"66","dolphyn_1243331905690935706","S3.0693.01X195",0,1.71379792775834
"67","dolphyn_1244652923018266284","S3.0693.01X195",0,1.62334081760309
"68","dolphyn_1252579743364456718","S3.0153.01X194",1.89009536994892,1.63899671467564
"69","dolphyn_1252579743364456718","S3.0693.01X195",0,1.76814960358892
"70","dolphyn_1256575142353976127","S3.0693.01X195",1.79175946922805,0
"71","dolphyn_1261210396967700004","S3.0693.01.2X194",0,2.30856716467159
"72","dolphyn_1261210396967700004","S3.0693.01X195",3.2240623515555,2.42214432805168
"73","dolphyn_1261210396967700004","SO.0491.01X194",0,1.65632149833295
"74","dolphyn_1261495490219004025","S3.0693.01.2X194",0,3.08007342198774
"75","dolphyn_1261495490219004025","S3.0693.01X195",0,3.76445064096101
"76","dolphyn_1264323816676822068","S3.0153.01X194",1.6467336971778,0
"77","dolphyn_1264323816676822068","S3.0693.01.2X194",0,1.71018781553424
"78","dolphyn_1264323816676822068","S3.0693.01X195",1.62334081760309,1.69009581545155
"79","dolphyn_1269437060169704274","S3.0693.01.2X194",2.55567572067621,0
"80","dolphyn_1269437060169704274","S3.0693.01X195",3.17178421733435,0
"81","dolphyn_1270254408561841803","SO.0491.01X194",3.42034620050092,0
"82","dolphyn_1272499503376866719","S3.0153.01X194",1.73695123273306,0
