"","taxon_id","pro_id","lfc","pep_no","triplet_id","sample"
"1","uvig_355148","uvig_355148_12",5.00367781352876,"pep1","dolphyn_2203748326393026056","S3.0693.01X195"
"2","uvig_428798","uvig_428798_34",4.69756703525406,"pep2","dolphyn_1594882241569229004","S3.0693.01X195"
"3","ivig_4176","ivig_4176_34",4.55366634312098,"pep1","dolphyn_3680617549645844911","S3.0693.01X195"
"4","uvig_356033","uvig_356033_47",4.49513208077915,"triplet","dolphyn_7131015221084664662","S3.0693.01X195"
"5","uvig_357328","uvig_357328_48",4.4884116253779,"triplet","dolphyn_1038317668394306519","S3.0153.01X194"
"6","uvig_356226","uvig_356226_4",4.4398237334001,"pep1","dolphyn_729306016209239860","S3.0693.01X195"
"7","uvig_357441","uvig_357441_65",4.40317639339662,"pep3","dolphyn_4483851363714024365","S3.0693.01X195"
"8","ivig_1427","ivig_1427_23",4.26479032453586,"triplet","dolphyn_3003663365585265854","S3.0153.01X194"
"9","ivig_464","ivig_464_35",4.22038966907276,"pep2","dolphyn_4864816401500577584","S3.0153.01X194"
"10","uvig_354750","uvig_354750_35",4.21286806440621,"triplet","dolphyn_6372511819274151411","S3.0153.01X194"
"11","uvig_428798","uvig_428798_34",4.20020495292158,"pep2","dolphyn_1594882241569229004","S3.0693.01.2X194"
"12","uvig_356955","uvig_356955_79",4.18342324530564,"pep1","dolphyn_8331793465879437190","S3.0693.01X195"
"13","uvig_395437","uvig_395437_62",4.15088241318236,"pep2","dolphyn_2961925849529746357","S3.0693.01X195"
"14","uvig_356226","uvig_356226_50",4.1026433650368,"pep2","dolphyn_1824731955653888444","S3.0153.01X194"
"15","uvig_356033","uvig_356033_47",4.07346135130568,"triplet","dolphyn_7131015221084664662","S3.0693.01.2X194"
"16","uvig_356033","uvig_356033_37",4.03335529059567,"triplet","dolphyn_8631679163584139442","S3.0693.01X195"
"17","uvig_29025","uvig_29025_6",3.96934807204742,"triplet","dolphyn_4141211376878297225","S3.0153.01X194"
"18","uvig_354826","uvig_354826_17",3.9500892062346,"triplet","dolphyn_2208394949229713291","S3.0153.01X194"
"19","uvig_354750","uvig_354750_35",3.92632031012897,"pep1","dolphyn_6372511819274151411","S3.0153.01X194"
"20","uvig_354753","uvig_354753_28",3.91302250576123,"pep1","dolphyn_108369641839263133","S3.0153.01X194"
"21","uvig_356526","uvig_356526_32",3.88998187455127,"triplet","dolphyn_51845799048653238","S3.0153.01X194"
"22","ivig_896","ivig_896_200",3.84288726659328,"pep2","dolphyn_6773283416387970158","S3.0153.01X194"
"23","uvig_357441","uvig_357441_102",3.83902211254366,"triplet","dolphyn_8570093932859673780","S3.0153.01X194"
"24","uvig_357441","uvig_357441_102",3.81903013857898,"pep3","dolphyn_8570093932859673780","S3.0153.01X194"
"25","uvig_355854","uvig_355854_40",3.77184097482828,"triplet","dolphyn_7452648165798672700","SO.0491.01X194"
"26","uvig_295951","uvig_295951_10",3.77045944110636,"triplet","dolphyn_6650999518034660200","S3.0693.01X195"
"27","uvig_355854","uvig_355854_17",3.75630443042873,"triplet","dolphyn_1063219132920881784","S3.0693.01X195"
"28","uvig_315082","uvig_315082_18",3.75091484503339,"pep2","dolphyn_3338085207032094404","S3.0153.01X194"
"29","uvig_355854","uvig_355854_17",3.7473841834865,"pep2","dolphyn_1063219132920881784","S3.0693.01X195"
"30","uvig_396640","uvig_396640_60",3.73909717027455,"triplet","dolphyn_8680768673135162522","S3.0693.01X195"
"31","uvig_356955","uvig_356955_79",3.73647843291322,"triplet","dolphyn_8331793465879437190","S3.0693.01X195"
"32","uvig_357645","uvig_357645_56",3.72545243434478,"pep3","dolphyn_7010757486289993497","S3.0153.01X194"
"33","uvig_356955","uvig_356955_79",3.71746691096585,"pep1","dolphyn_8331793465879437190","S3.0693.01.2X194"
"34","uvig_356226","uvig_356226_51",3.71381593940397,"triplet","dolphyn_8836702854329654015","S3.0693.01X195"
"35","uvig_354790","uvig_354790_34",3.69386699562498,"pep2","dolphyn_2577765430477663703","SO.0491.01X194"
"36","uvig_395437","uvig_395437_62",3.6609942506244,"triplet","dolphyn_2961925849529746357","S3.0693.01X195"
"37","uvig_356226","uvig_356226_64",3.58379667766078,"triplet","dolphyn_763083883244085660","S3.0153.01X194"
"38","ivig_464","ivig_464_35",3.57402961243499,"triplet","dolphyn_4864816401500577584","S3.0153.01X194"
"39","uvig_356226","uvig_356226_51",3.57402961243499,"pep2","dolphyn_8836702854329654015","S3.0693.01X195"
"40","uvig_429694","uvig_429694_2",3.55791618959512,"pep3","dolphyn_2281760847860363755","S3.0153.01X194"
"41","uvig_356033","uvig_356033_10",3.55248682920838,"triplet","dolphyn_2834890559616835757","SO.0491.01X194"
"42","uvig_354790","uvig_354790_109",3.53281026846405,"triplet","dolphyn_2045099095359151811","SO.0491.01X194"
"43","uvig_355854","uvig_355854_40",3.52311998561896,"pep3","dolphyn_7452648165798672700","SO.0491.01X194"
"44","uvig_357441","uvig_357441_65",3.48829208851309,"pep3","dolphyn_4483851363714024365","S3.0693.01.2X194"
"45","ivig_2475","ivig_2475_18",3.48124008933569,"triplet","dolphyn_7948471697271432929","S3.0693.01X195"
"46","uvig_395437","uvig_395437_62",3.47258737774883,"pep2","dolphyn_2961925849529746357","S3.0693.01.2X194"
"47","uvig_356033","uvig_356033_37",3.47010136030937,"triplet","dolphyn_8631679163584139442","S3.0693.01.2X194"
"48","uvig_357441","uvig_357441_55",3.45157358898722,"pep3","dolphyn_6382814638260822359","S3.0693.01X195"
"49","uvig_357441","uvig_357441_55",3.44393753533831,"triplet","dolphyn_6382814638260822359","S3.0693.01X195"
"50","uvig_357645","uvig_357645_56",3.41510028683115,"triplet","dolphyn_7010757486289993497","S3.0153.01X194"
"51","uvig_356226","uvig_356226_64",3.38912480042789,"pep2","dolphyn_763083883244085660","S3.0153.01X194"
"52","ivig_1427","ivig_1427_23",3.38844980883965,"pep2","dolphyn_3003663365585265854","S3.0153.01X194"
"53","uvig_358797","uvig_358797_3",3.36314931402463,"pep1","dolphyn_8887811207448440133","S3.0693.01X195"
"54","uvig_356033","uvig_356033_37",3.35863776724336,"pep2","dolphyn_8631679163584139442","S3.0693.01X195"
"55","uvig_357441","uvig_357441_65",3.35759374418002,"triplet","dolphyn_4483851363714024365","S3.0693.01X195"
"56","uvig_355854","uvig_355854_17",3.35270717250172,"triplet","dolphyn_1063219132920881784","S3.0693.01.2X194"
"57","uvig_356226","uvig_356226_51",3.30284925864438,"triplet","dolphyn_8836702854329654015","S3.0693.01.2X194"
"58","uvig_356033","uvig_356033_47",3.2577118486534,"pep2","dolphyn_7131015221084664662","S3.0693.01X195"
"59","uvig_356226","uvig_356226_4",3.2468800212778,"triplet","dolphyn_729306016209239860","S3.0693.01X195"
"60","uvig_356226","uvig_356226_4",3.24493335918749,"pep1","dolphyn_729306016209239860","S3.0693.01.2X194"
"61","uvig_356792","uvig_356792_5",3.2240623515555,"pep1","dolphyn_1261210396967700004","S3.0693.01X195"
"62","uvig_354826","uvig_354826_17",3.2188758248682,"pep3","dolphyn_2208394949229713291","S3.0153.01X194"
"63","uvig_356792","uvig_356792_73",3.21486780347066,"pep1","dolphyn_8388696955533151027","S3.0153.01X194"
"64","uvig_356955","uvig_356955_79",3.20801708153332,"triplet","dolphyn_8331793465879437190","S3.0693.01.2X194"
"65","uvig_356792","uvig_356792_27",3.1998968582704,"pep2","dolphyn_1221643508740902921","S3.0153.01X194"
"66","uvig_357534","uvig_357534_66",3.19499288440487,"pep1","dolphyn_5409891537156302619","SO.0491.01X194"
"67","uvig_356792","uvig_356792_31",3.18304137185898,"triplet","dolphyn_4159811842572103144","SO.0491.01X194"
"68","uvig_356033","uvig_356033_52",3.18096625179498,"pep3","dolphyn_943715704055308272","SO.0491.01X194"
"69","uvig_428798","uvig_428798_57",3.16039889510922,"pep1","dolphyn_2341917171310324702","S3.0153.01X194"
"70","uvig_396758","uvig_396758_31",3.15316328150282,"pep2","dolphyn_2671384754746761599","S3.0153.01X194"
"71","uvig_356526","uvig_356526_32",3.1389664416399,"pep3","dolphyn_51845799048653238","S3.0153.01X194"
"72","uvig_396758","uvig_396758_31",3.10906095886099,"triplet","dolphyn_2671384754746761599","S3.0153.01X194"
"73","uvig_354753","uvig_354753_28",3.09557760852371,"triplet","dolphyn_108369641839263133","S3.0153.01X194"
"74","uvig_396640","uvig_396640_60",3.09376601382536,"triplet","dolphyn_8680768673135162522","S3.0693.01.2X194"
"75","uvig_357864","uvig_357864_91",3.08602991153477,"triplet","dolphyn_2132185943774532562","S3.0153.01X194"
"76","uvig_428798","uvig_428798_34",3.07915388169306,"triplet","dolphyn_1594882241569229004","S3.0693.01X195"
"77","uvig_356226","uvig_356226_38",3.07315617051879,"pep1","dolphyn_386700858133017322","S3.0693.01X195"
"78","uvig_355148","uvig_355148_12",3.07176695982999,"triplet","dolphyn_2203748326393026056","S3.0693.01X195"
"79","uvig_315082","uvig_315082_21",3.07130346040107,"pep2","dolphyn_6873698798253845018","S3.0153.01X194"
"80","uvig_357441","uvig_357441_11",3.06712226964066,"triplet","dolphyn_7507328556264675464","S3.0693.01X195"
"81","uvig_315082","uvig_315082_70",3.05022045883806,"triplet","dolphyn_859668682252019432","S3.0153.01X194"
"82","uvig_357534","uvig_357534_66",3.0478502278161,"pep1","dolphyn_5409891537156302619","S3.0693.01X195"
"83","uvig_315372","uvig_315372_8",3.03013370027132,"triplet","dolphyn_8440031369417246092","S3.0693.01X195"
"84","uvig_372157","uvig_372157_1",3.02577639490237,"triplet","dolphyn_4152408593971051818","S3.0693.01X195"
"85","ivig_601","ivig_601_125",3.01455402779458,"pep1","dolphyn_3423128321780478719","S3.0153.01X194"
"86","ivig_601","ivig_601_100",3.01062088604774,"pep3","dolphyn_8238297043422265535","S3.0153.01X194"
"87","ivig_4176","ivig_4176_34",3.00071981506503,"triplet","dolphyn_3680617549645844911","S3.0693.01X195"
"88","uvig_29025","uvig_29025_6",2.96681826338935,"pep3","dolphyn_4141211376878297225","S3.0153.01X194"
"89","uvig_315082","uvig_315082_21",2.9637254774189,"triplet","dolphyn_6873698798253845018","S3.0153.01X194"
"90","uvig_295951","uvig_295951_10",2.9637254774189,"pep3","dolphyn_6650999518034660200","S3.0693.01X195"
"91","uvig_354750","uvig_354750_3",2.93757335938046,"pep1","dolphyn_5405373092314075256","S3.0693.01X195"
"92","uvig_357441","uvig_357441_55",2.92691795755363,"triplet","dolphyn_6382814638260822359","S3.0693.01.2X194"
"93","uvig_356033","uvig_356033_10",2.91831112658541,"pep3","dolphyn_2834890559616835757","SO.0491.01X194"
"94","ivig_601","ivig_601_53",2.91777073208428,"triplet","dolphyn_9184838285516146761","S3.0153.01X194"
"95","uvig_354750","uvig_354750_19",2.89646427189532,"pep1","dolphyn_770861247827165669","S3.0693.01X195"
"96","uvig_357441","uvig_357441_65",2.87807423008576,"triplet","dolphyn_4483851363714024365","S3.0693.01.2X194"
"97","uvig_356226","uvig_356226_51",2.87582197688143,"pep2","dolphyn_8836702854329654015","S3.0693.01.2X194"
"98","uvig_354750","uvig_354750_19",2.87016905057865,"triplet","dolphyn_770861247827165669","S3.0693.01X195"
"99","uvig_356033","uvig_356033_37",2.86846692250811,"pep2","dolphyn_8631679163584139442","S3.0693.01.2X194"
"100","uvig_375837","uvig_375837_48",2.85647020622048,"pep3","dolphyn_3549646940544030343","S3.0693.01X195"
"101","uvig_355478","uvig_355478_35",2.84839168565528,"pep3","dolphyn_8806861764269342187","S3.0693.01X195"
"102","uvig_355478","uvig_355478_23",2.84549061022345,"pep1","dolphyn_3484863774746375660","S3.0693.01X195"
"103","uvig_357534","uvig_357534_61",2.78870810411966,"triplet","dolphyn_5836260539352785505","SO.0491.01X194"
"104","uvig_396640","uvig_396640_60",2.77258872223978,"pep3","dolphyn_8680768673135162522","S3.0693.01X195"
"105","uvig_356955","uvig_356955_69",2.77008559202166,"pep1","dolphyn_5668493644923424079","S3.0693.01X195"
"106","uvig_418132","uvig_418132_24",2.7638002162067,"triplet","dolphyn_79877748651475231","S3.0153.01X194"
"107","uvig_315372","uvig_315372_8",2.75937682826755,"triplet","dolphyn_8440031369417246092","S3.0693.01.2X194"
"108","ivig_4424","ivig_4424_11",2.75620524298926,"pep1","dolphyn_5688086125013948095","SO.0491.01X194"
"109","uvig_295951","uvig_295951_21",2.74919214443339,"pep1","dolphyn_6598573648173312698","S3.0693.01X195"
"110","uvig_395437","uvig_395437_62",2.74212951475507,"triplet","dolphyn_2961925849529746357","S3.0693.01.2X194"
"111","ivig_601","ivig_601_136",2.74148497718845,"pep1","dolphyn_8279259417365039821","SO.0491.01X194"
"112","uvig_358797","uvig_358797_9",2.73631366637507,"triplet","dolphyn_4897757316586798869","S3.0693.01X195"
"113","uvig_358797","uvig_358797_3",2.7330679640775,"pep1","dolphyn_8887811207448440133","S3.0693.01.2X194"
"114","uvig_357441","uvig_357441_55",2.71800053195538,"pep3","dolphyn_6382814638260822359","S3.0693.01.2X194"
"115","uvig_357534","uvig_357534_66",2.67621547758219,"pep1","dolphyn_1450008797244235210","SO.0491.01X194"
"116","ivig_2475","ivig_2475_18",2.66792241001143,"pep3","dolphyn_7948471697271432929","S3.0693.01X195"
"117","uvig_357328","uvig_357328_48",2.64617479738412,"pep1","dolphyn_1038317668394306519","S3.0153.01X194"
"118","uvig_315082","uvig_315082_70",2.6447553507299,"pep3","dolphyn_859668682252019432","S3.0153.01X194"
"119","uvig_355478","uvig_355478_35",2.64119789411437,"triplet","dolphyn_8806861764269342187","S3.0693.01X195"
"120","uvig_357534","uvig_357534_61",2.64119789411437,"pep1","dolphyn_5836260539352785505","SO.0491.01X194"
"121","uvig_356955","uvig_356955_84",2.63691217326887,"pep2","dolphyn_9015307227903015062","S3.0153.01X194"
"122","uvig_356955","uvig_356955_8",2.61373952163097,"triplet","dolphyn_5681335419240110696","S3.0153.01X194"
"123","uvig_354753","uvig_354753_28",2.61373952163097,"pep3","dolphyn_1132008678214778391","S3.0153.01X194"
"124","uvig_428798","uvig_428798_62",2.60786147384678,"pep3","dolphyn_2543304260786156781","S3.0693.01X195"
"125","ivig_3353","ivig_3353_162",2.59450815970308,"pep1","dolphyn_5079017064715994587","S3.0153.01X194"
"126","uvig_354790","uvig_354790_17",2.59001713419062,"pep2","dolphyn_8030648762919969048","SO.0491.01X194"
"127","uvig_428798","uvig_428798_104",2.58399755243223,"triplet","dolphyn_1641026356165042594","SO.0491.01X194"
"128","uvig_372157","uvig_372157_1",2.58248697812686,"pep1","dolphyn_4152408593971051818","S3.0693.01X195"
"129","uvig_428798","uvig_428798_79",2.57031952763613,"triplet","dolphyn_1702644010114408456","S3.0153.01X194"
"130","uvig_356792","uvig_356792_31",2.5687881337687,"pep1","dolphyn_4159811842572103144","SO.0491.01X194"
"131","uvig_80910","uvig_80910_3",2.55955019278377,"triplet","dolphyn_1331713022849572150","S3.0153.01X194"
"132","uvig_356226","uvig_356226_50",2.55489902160804,"triplet","dolphyn_1824731955653888444","S3.0153.01X194"
"133","uvig_356033","uvig_356033_47",2.55022611590864,"pep2","dolphyn_7131015221084664662","S3.0693.01.2X194"
"134","ivig_896","ivig_896_200",2.54866361559075,"triplet","dolphyn_6773283416387970158","S3.0153.01X194"
"135","uvig_354790","uvig_354790_83",2.53923699433305,"pep1","dolphyn_7920268146096793101","S3.0693.01X195"
"136","uvig_356526","uvig_356526_44",2.53210825127229,"pep3","dolphyn_2401386090760231348","SO.0491.01X194"
"137","uvig_358682","uvig_358682_22",2.52091708731103,"triplet","dolphyn_3559398535225935904","S3.0153.01X194"
"138","uvig_355854","uvig_355854_17",2.51365606307399,"pep2","dolphyn_1063219132920881784","S3.0693.01.2X194"
"139","uvig_354790","uvig_354790_72",2.50878592357794,"pep2","dolphyn_5295948793162370148","SO.0491.01X194"
"140","uvig_315082","uvig_315082_18",2.50634193050807,"triplet","dolphyn_3338085207032094404","S3.0153.01X194"
"141","uvig_418132","uvig_418132_24",2.50225528812261,"pep1","dolphyn_79877748651475231","S3.0153.01X194"
"142","ivig_2475","ivig_2475_57",2.484906649788,"pep2","dolphyn_8894783013327269485","SO.0491.01X194"
"143","uvig_428798","uvig_428798_62",2.48073127837752,"triplet","dolphyn_2543304260786156781","S3.0693.01X195"
"144","uvig_385029","uvig_385029_26",2.47653840011748,"triplet","dolphyn_3624229544839031532","SO.0491.01X194"
"145","uvig_358797","uvig_358797_9",2.4748563139345,"pep1","dolphyn_4897757316586798869","S3.0693.01X195"
"146","uvig_358682","uvig_358682_46",2.47317139356958,"pep1","dolphyn_1234010551816071292","S3.0693.01X195"
"147","uvig_358682","uvig_358682_46",2.46044317760963,"triplet","dolphyn_1234010551816071292","S3.0693.01.2X194"
"148","uvig_356526","uvig_356526_44",2.45702144629846,"triplet","dolphyn_2401386090760231348","SO.0491.01X194"
"149","uvig_396758","uvig_396758_8",2.45616418092235,"pep1","dolphyn_8435111112702069454","S3.0693.01X195"
"150","uvig_396640","uvig_396640_60",2.45100509811232,"pep3","dolphyn_8680768673135162522","S3.0693.01.2X194"
"151","uvig_355478","uvig_355478_35",2.44927947214485,"pep1","dolphyn_1715485758086800406","SO.0491.01X194"
"152","ivig_3679","ivig_3679_56",2.44841554120559,"triplet","dolphyn_3065440054305836257","S3.0153.01X194"
"153","ivig_601","ivig_601_100",2.44408465526775,"triplet","dolphyn_8238297043422265535","S3.0153.01X194"
"154","uvig_428798","uvig_428798_34",2.43973493114128,"triplet","dolphyn_1594882241569229004","S3.0693.01.2X194"
"155","uvig_356955","uvig_356955_80",2.43798973000025,"triplet","dolphyn_7779600899652262199","S3.0153.01X194"
"156","uvig_354753","uvig_354753_28",2.43273577745909,"triplet","dolphyn_1132008678214778391","S3.0153.01X194"
"157","uvig_396640","uvig_396640_3",2.43273577745909,"triplet","dolphyn_2625918564940660169","SO.0491.01X194"
"158","uvig_354750","uvig_354750_19",2.43273577745909,"pep1","dolphyn_770861247827165669","S3.0693.01.2X194"
"159","uvig_355478","uvig_355478_35",2.43273577745909,"pep3","dolphyn_8806861764269342187","S3.0693.01.2X194"
"160","uvig_356792","uvig_356792_5",2.42214432805168,"triplet","dolphyn_1261210396967700004","S3.0693.01X195"
"161","uvig_385029","uvig_385029_26",2.41858876875035,"pep1","dolphyn_3624229544839031532","SO.0491.01X194"
"162","uvig_357534","uvig_357534_66",2.41323161308111,"triplet","dolphyn_1450008797244235210","SO.0491.01X194"
"163","uvig_357534","uvig_357534_66",2.40964416528745,"triplet","dolphyn_39840900880083072","SO.0491.01X194"
"164","ivig_601","ivig_601_53",2.39425228151987,"pep1","dolphyn_9184838285516146761","S3.0153.01X194"
"165","uvig_356226","uvig_356226_4",2.39059597031676,"triplet","dolphyn_729306016209239860","S3.0693.01.2X194"
"166","uvig_315082","uvig_315082_86",2.3832429960115,"triplet","dolphyn_2556759923678754406","S3.0153.01X194"
"167","uvig_356955","uvig_356955_69",2.36930872503695,"triplet","dolphyn_5668493644923424079","S3.0693.01.2X194"
"168","uvig_418132","uvig_418132_7",2.35801979988215,"triplet","dolphyn_6896850464376645727","S3.0693.01X195"
"169","uvig_357534","uvig_357534_55",2.35327820730956,"pep1","dolphyn_7016140561040284100","S3.0693.01X195"
"170","uvig_428798","uvig_428798_79",2.35042242240821,"pep3","dolphyn_1702644010114408456","S3.0153.01X194"
"171","uvig_372157","uvig_372157_1",2.34468626901268,"triplet","dolphyn_4152408593971051818","S3.0693.01.2X194"
"172","uvig_358682","uvig_358682_48",2.33795223683134,"pep1","dolphyn_6739862506011577052","S3.0153.01X194"
"173","uvig_375837","uvig_375837_48",2.33505228313155,"triplet","dolphyn_3549646940544030343","S3.0693.01X195"
"174","uvig_358797","uvig_358797_75",2.33214389523559,"triplet","dolphyn_2778950575130695705","S3.0693.01X195"
"175","uvig_354750","uvig_354750_3",2.32727770558442,"triplet","dolphyn_5405373092314075256","S3.0693.01X195"
"176","uvig_357534","uvig_357534_66",2.32532457996354,"triplet","dolphyn_5409891537156302619","SO.0491.01X194"
"177","uvig_428798","uvig_428798_62",2.32238772029023,"triplet","dolphyn_2543304260786156781","S3.0693.01.2X194"
"178","uvig_356500","uvig_356500_46",2.30558060197384,"triplet","dolphyn_5528338047860422414","S3.0693.01X195"
"179","uvig_356500","uvig_356500_46",2.30158459266046,"pep1","dolphyn_5528338047860422414","S3.0693.01X195"
"180","uvig_356792","uvig_356792_32",2.29556047805708,"pep3","dolphyn_8310211704858527742","SO.0491.01X194"
"181","uvig_356033","uvig_356033_5",2.29051251175978,"pep3","dolphyn_9140674006957255348","S3.0693.01X195"
"182","uvig_355478","uvig_355478_23",2.28136145654242,"triplet","dolphyn_3484863774746375660","S3.0693.01X195"
"183","uvig_375837","uvig_375837_43",2.27624111765444,"triplet","dolphyn_5285026894547867112","S3.0153.01X194"
"184","ivig_601","ivig_601_71",2.26592110862245,"pep1","dolphyn_7811565622150842473","S3.0693.01X195"
"185","uvig_428798","uvig_428798_57",2.24918431626693,"triplet","dolphyn_2341917171310324702","S3.0153.01X194"
"186","uvig_355854","uvig_355854_16",2.24918431626693,"triplet","dolphyn_8583984308040125131","S3.0693.01X195"
"187","uvig_375837","uvig_375837_43",2.24601474150565,"pep1","dolphyn_5285026894547867112","S3.0153.01X194"
"188","uvig_357441","uvig_357441_11",2.24495598015741,"triplet","dolphyn_7507328556264675464","S3.0693.01.2X194"
"189","uvig_358797","uvig_358797_56",2.24177295359729,"triplet","dolphyn_3138049032560161484","S3.0153.01X194"
"190","ivig_3875","ivig_3875_34",2.2364452904895,"pep1","dolphyn_4703832270730379698","S3.0693.01.2X194"
"191","uvig_354753","uvig_354753_27",2.23323501485925,"pep2","dolphyn_5219674062898066593","SO.0491.01X194"
"192","uvig_357864","uvig_357864_16",2.23108909128898,"triplet","dolphyn_5786593082153716518","S3.0153.01X194"
"193","uvig_354790","uvig_354790_54",2.22678337957776,"triplet","dolphyn_3743867440028981080","S3.0153.01X194"
"194","uvig_315372","uvig_315372_8",2.22678337957776,"pep1","dolphyn_8440031369417246092","S3.0693.01X195"
"195","uvig_356955","uvig_356955_80",2.22245904851476,"pep3","dolphyn_7779600899652262199","S3.0153.01X194"
"196","uvig_354790","uvig_354790_34",2.22028985026722,"triplet","dolphyn_2577765430477663703","SO.0491.01X194"
"197","uvig_356750","uvig_356750_40",2.2181159363676,"pep2","dolphyn_6764904223878988167","S3.0153.01X194"
"198","uvig_372157","uvig_372157_1",2.20165917440409,"pep1","dolphyn_4152408593971051818","S3.0693.01.2X194"
"199","uvig_372157","uvig_372157_1",2.19944433407453,"pep3","dolphyn_4152408593971051818","S3.0693.01X195"
"200","uvig_355478","uvig_355478_35",2.19277022698684,"triplet","dolphyn_1715485758086800406","SO.0491.01X194"
"201","uvig_428798","uvig_428798_62",2.19277022698684,"pep3","dolphyn_2543304260786156781","S3.0693.01.2X194"
"202","uvig_359660","uvig_359660_12",2.18717424148272,"triplet","dolphyn_854502898817831996","S3.0693.01X195"
"203","uvig_354790","uvig_354790_83",2.18267479632149,"pep1","dolphyn_7920268146096793101","S3.0693.01.2X194"
"204","ivig_3875","ivig_3875_34",2.17928687664955,"triplet","dolphyn_4703832270730379698","S3.0693.01.2X194"
"205","uvig_295951","uvig_295951_21",2.17928687664955,"pep1","dolphyn_6598573648173312698","S3.0693.01.2X194"
"206","uvig_354826","uvig_354826_19",2.17361471169709,"triplet","dolphyn_6107801498606912680","S3.0693.01X195"
"207","uvig_357534","uvig_357534_55",2.17133680638409,"triplet","dolphyn_7016140561040284100","S3.0693.01X195"
"208","uvig_354716","uvig_354716_54",2.17133680638409,"pep1","dolphyn_720756587382959805","S3.0693.01X195"
"209","ivig_2475","ivig_2475_57",2.16561923792089,"triplet","dolphyn_8894783013327269485","SO.0491.01X194"
"210","ivig_2749","ivig_2749_23",2.15871472257434,"pep3","dolphyn_3710793979599028942","SO.0491.01X194"
"211","uvig_356792","uvig_356792_32",2.14943391349987,"triplet","dolphyn_8310211704858527742","SO.0491.01X194"
"212","uvig_356792","uvig_356792_86",2.14943391349987,"pep1","dolphyn_3451104416790836987","S3.0693.01X195"
"213","ivig_4427","ivig_4427_28",2.14593128294867,"triplet","dolphyn_4349790213967476616","S3.0153.01X194"
"214","uvig_356792","uvig_356792_73",2.14358936150359,"triplet","dolphyn_8388696955533151027","S3.0153.01X194"
"215","uvig_429694","uvig_429694_2",2.14241634084122,"triplet","dolphyn_2281760847860363755","S3.0153.01X194"
"216","uvig_358797","uvig_358797_3",2.13653050866396,"triplet","dolphyn_8887811207448440133","S3.0693.01.2X194"
"217","uvig_354750","uvig_354750_19",2.12584791449399,"triplet","dolphyn_770861247827165669","S3.0693.01.2X194"
"218","uvig_356955","uvig_356955_69",2.11866225483312,"triplet","dolphyn_5668493644923424079","S3.0693.01X195"
"219","uvig_358682","uvig_358682_46",2.1150499691472,"triplet","dolphyn_1234010551816071292","S3.0693.01X195"
"220","uvig_354790","uvig_354790_17",2.1126345090356,"triplet","dolphyn_8030648762919969048","SO.0491.01X194"
"221","uvig_358797","uvig_358797_75",2.11021320034659,"pep3","dolphyn_2778950575130695705","S3.0693.01.2X194"
"222","ivig_464","ivig_464_10",2.10046890887191,"triplet","dolphyn_1022123155601217464","S3.0693.01X195"
"223","uvig_354790","uvig_354790_17",2.09186406167839,"triplet","dolphyn_8020399200923968824","S3.0153.01X194"
"224","uvig_354753","uvig_354753_25",2.09186406167839,"pep3","dolphyn_3318523360688550007","S3.0693.01X195"
"225","ivig_601","ivig_601_125",2.089391872533,"triplet","dolphyn_3423128321780478719","S3.0153.01X194"
"226","ivig_896","ivig_896_213",2.07317192866624,"pep1","dolphyn_5182676363054091960","SO.0491.01X194"
"227","uvig_449019","uvig_449019_2",2.07317192866624,"pep1","dolphyn_5526531722062021210","S3.0153.01X194"
"228","uvig_357534","uvig_357534_55",2.07317192866624,"pep1","dolphyn_7016140561040284100","S3.0693.01.2X194"
"229","uvig_356955","uvig_356955_69",2.07191327525904,"pep1","dolphyn_5668493644923424079","S3.0693.01.2X194"
"230","uvig_358682","uvig_358682_48",2.07065303564676,"triplet","dolphyn_6739862506011577052","S3.0153.01X194"
"231","uvig_356792","uvig_356792_86",2.06939120582633,"triplet","dolphyn_3451104416790836987","S3.0693.01.2X194"
"232","uvig_578696","uvig_578696_34",2.06939120582633,"triplet","dolphyn_6864121023573623946","S3.0693.01X195"
"233","uvig_356033","uvig_356033_52",2.06559613485778,"triplet","dolphyn_943715704055308272","SO.0491.01X194"
"234","uvig_357328","uvig_357328_30",2.06559613485778,"pep1","dolphyn_6302988325230880598","S3.0693.01X195"
"235","uvig_385029","uvig_385029_48",2.05796251000271,"triplet","dolphyn_7651246186150382957","S3.0153.01X194"
"236","uvig_357864","uvig_357864_16",2.05796251000271,"pep1","dolphyn_5786593082153716518","S3.0153.01X194"
"237","uvig_358797","uvig_358797_3",2.05412373369555,"triplet","dolphyn_8887811207448440133","S3.0693.01X195"
"238","uvig_357328","uvig_357328_37",2.05412373369555,"pep2","dolphyn_8074362613255034008","S3.0693.01X195"
"239","uvig_354790","uvig_354790_17",2.04769284336526,"pep1","dolphyn_8020399200923968824","S3.0153.01X194"
"240","uvig_354826","uvig_354826_19",2.04381436403668,"pep1","dolphyn_6107801498606912680","S3.0693.01X195"
"241","uvig_358797","uvig_358797_75",2.04122032885964,"pep3","dolphyn_2778950575130695705","S3.0693.01X195"
"242","ivig_601","ivig_601_71",2.03208784529637,"triplet","dolphyn_7811565622150842473","S3.0693.01X195"
"243","uvig_315082","uvig_315082_86",2.03077636969855,"pep2","dolphyn_2556759923678754406","S3.0153.01X194"
"244","uvig_396640","uvig_396640_3",2.02551319965428,"pep3","dolphyn_2625918564940660169","SO.0491.01X194"
